nuts2_id,year,country
AT34,2008,AT
AT34,2009,AT
AT34,2010,AT
AT34,2011,AT
AT34,2012,AT
AT34,2013,AT
AT34,2014,AT
AT34,2015,AT
AT34,2016,AT
AT34,2017,AT
AT34,2018,AT
AT34,2019,AT
AT34,2020,AT
AT34,2021,AT
AT34,2022,AT
AT34,2023,AT
AT34,2024,AT
AT34,2025,AT
BE10,1986,BE
BE10,1987,BE
BE10,1988,BE
BE10,1989,BE
BE10,1990,BE
BE10,1991,BE
BE10,1992,BE
BE10,1993,BE
BE10,1994,BE
BE10,1995,BE
BE10,1996,BE
BE10,1997,BE
BE10,1998,BE
BE10,1999,BE
BE10,2000,BE
BE10,2001,BE
BE10,2002,BE
BE10,2003,BE
BE10,2004,BE
BE10,2005,BE
BE10,2006,BE
BE10,2007,BE
BE10,2008,BE
BE10,2009,BE
BE10,2010,BE
BE10,2011,BE
BE10,2012,BE
BE10,2013,BE
BE10,2014,BE
BE10,2015,BE
BE10,2016,BE
BE10,2017,BE
BE10,2018,BE
BE10,2019,BE
BE10,2020,BE
BE10,2021,BE
BE10,2022,BE
BE10,2023,BE
BE10,2024,BE
BE10,2025,BE
BE21,1986,BE
BE21,1987,BE
BE21,1988,BE
BE21,1989,BE
BE21,1990,BE
BE21,1991,BE
BE21,1992,BE
BE21,1993,BE
BE21,1994,BE
BE21,1995,BE
BE21,1996,BE
BE21,1997,BE
BE21,1998,BE
BE21,1999,BE
BE21,2000,BE
BE21,2001,BE
BE21,2002,BE
BE21,2003,BE
BE21,2004,BE
BE21,2005,BE
BE21,2006,BE
BE21,2007,BE
BE21,2008,BE
BE21,2009,BE
BE21,2010,BE
BE21,2011,BE
BE21,2012,BE
BE21,2013,BE
BE21,2014,BE
BE21,2015,BE
BE21,2016,BE
BE21,2017,BE
BE21,2018,BE
BE21,2019,BE
BE21,2020,BE
BE21,2021,BE
BE21,2022,BE
BE21,2023,BE
BE21,2024,BE
BE21,2025,BE
BE22,1986,BE
BE22,1987,BE
BE22,1988,BE
BE22,1989,BE
BE22,1990,BE
BE22,1991,BE
BE22,1992,BE
