nuts2_id,year,unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva
BE24,2022,3.6,67.7,51.6,4.84,122.6
BE24,2023,4.2,67.3,50,4.94,126.2
BE24,2024,4.2,68.1,51,,
BE25,2013,3.9,67.3,32.8,1.37,
BE25,2014,4.2,67.9,33,1.06,98.1
BE25,2015,4.2,68.1,32.8,1.12,100
BE25,2016,3.7,68.6,35.2,1.2,101.4
BE25,2017,3.2,70,37.4,1.33,103
BE25,2018,2.6,71.6,37.3,,104.4
BE25,2019,2.5,72.4,37.3,,106.5
BE25,2020,3.3,71.4,38.7,,102.1
BE25,2021,3.6,71.9,39.5,,108.8
BE25,2022,2.7,72.9,39.8,1.67,112.4
BE25,2023,2.8,73.9,40,1.77,114.5
BE25,2024,2.7,73.4,39.1,,
BE31,2013,8.2,62.9,51.2,8.56,
BE31,2014,8.9,62.4,51.9,6.61,98.4
BE31,2015,7.9,62.8,54.1,6.33,100
BE31,2016,7.9,62.9,52.2,7.4,104.1
BE31,2017,7.6,64.5,57.1,7.73,107.4
BE31,2018,6.9,64.3,58.4,,116.6
BE31,2019,5.5,65.2,55.7,,127.7
BE31,2020,6.2,64.2,59.7,,122.8
BE31,2021,6.8,65.7,59.7,,115.4
BE31,2022,5.5,68,60.7,9.73,124.6
BE31,2023,5.7,68.3,62,9.27,129.2
BE31,2024,6.8,67.6,63.6,,
BE32,2013,13.3,53.8,28,1.4,
BE32,2014,14.4,52.7,28.1,1.63,98.6
BE32,2015,13.3,53,27.2,1.62,100
BE32,2016,11.8,54.7,30,1.27,100.4
BE32,2017,11.4,54.3,31.1,1.45,101.4
BE32,2018,10,54.7,31.4,,103.7
BE32,2019,8.6,55.7,32,,104
BE32,2020,8.3,55,32.4,,99.4
BE32,2021,10.3,55.9,33.5,,104.3
BE32,2022,10.5,55.8,34.2,1.58,107.3
BE32,2023,9.3,57,34.3,1.6,107.2
BE32,2024,8.7,58.6,34.5,,
BE33,2013,11.7,57,31.9,1.61,
BE33,2014,12.3,55.6,33.1,1.86,98.8
BE33,2015,12.9,55.8,33.9,2.08,100
BE33,2016,11.1,56.1,33.4,2.08,100.5
BE33,2017,10.5,56.1,35.6,2.19,102.3
BE33,2018,8.2,57.9,35.9,,103.8
BE33,2019,6.7,59,37.5,,105.4
BE33,2020,7.8,59.6,39.7,,103.1
