nuts2_id,year,population,erdf_eur,erdf_eur_pc,erdf_eur_pc_l1,erdf_eur_pc_l2,erdf_eur_pc_l3
FRD2,2015,,0,,,,
FRD2,2016,1858580,0,0,,,
FRD2,2017,1856221,0,0,0,,
FRD2,2018,1855845,0,0,0,0,
FRD2,2019,1855140,0,0,0,0,0
FRD2,2020,1854407,0,0,0,0,0
FRD2,2021,1854852,0,0,0,0,0
FRD2,2022,1861510,0,0,0,0,0
FRD2,2023,1861791,0,0,0,0,0
FRD2,2024,1864558,0,0,0,0,0
FRD2,2025,1864946,0,0,0,0,0
FRE1,1986,,0,,,,
FRE1,1987,,0,,,,
FRE1,1988,,0,,,,
FRE1,1989,,0,,,,
FRE1,1990,,0,,,,
FRE1,1991,,0,,,,
FRE1,1992,,0,,,,
FRE1,1993,,0,,,,
FRE1,1994,,0,,,,
FRE1,1995,,0,,,,
FRE1,1996,,0,,,,
FRE1,1997,,0,,,,
FRE1,1998,,0,,,,
FRE1,1999,,0,,,,
