STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,na_item,National accounts indicator (ESA 2010),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NAMA_10R_2GVAGR$DEFAULTVIEW(1.0),Gross domestic product (GDP) and Gross value added (GVA) in volume by NUTS 2 region,A,Annual,B1G,"Value added, gross",I15,"Index, 2015=100",AL03,Jug,2020,,105.9,,e,estimated,,
dataflow,ESTAT:NAMA_10R_2GVAGR$DEFAULTVIEW(1.0),Gross domestic product (GDP) and Gross value added (GVA) in volume by NUTS 2 region,A,Annual,B1G,"Value added, gross",I15,"Index, 2015=100",AL03,Jug,2021,,111.6,,e,estimated,,
dataflow,ESTAT:NAMA_10R_2GVAGR$DEFAULTVIEW(1.0),Gross domestic product (GDP) and Gross value added (GVA) in volume by NUTS 2 region,A,Annual,B1G,"Value added, gross",I15,"Index, 2015=100",AT,Austria,2014,,98.9,,,,,
dataflow,ESTAT:NAMA_10R_2GVAGR$DEFAULTVIEW(1.0),Gross domestic product (GDP) and Gross value added (GVA) in volume by NUTS 2 region,A,Annual,B1G,"Value added, gross",I15,"Index, 2015=100",AT,Austria,2015,,100,,,,,
dataflow,ESTAT:NAMA_10R_2GVAGR$DEFAULTVIEW(1.0),Gross domestic product (GDP) and Gross value added (GVA) in volume by NUTS 2 region,A,Annual,B1G,"Value added, gross",I15,"Index, 2015=100",AT,Austria,2016,,102.1,,,,,
dataflow,ESTAT:NAMA_10R_2GVAGR$DEFAULTVIEW(1.0),Gross domestic product (GDP) and Gross value added (GVA) in volume by NUTS 2 region,A,Annual,B1G,"Value added, gross",I15,"Index, 2015=100",AT,Austria,2017,,104.5,,,,,
dataflow,ESTAT:NAMA_10R_2GVAGR$DEFAULTVIEW(1.0),Gross domestic product (GDP) and Gross value added (GVA) in volume by NUTS 2 region,A,Annual,B1G,"Value added, gross",I15,"Index, 2015=100",AT,Austria,2018,,107.4,,,,,
dataflow,ESTAT:NAMA_10R_2GVAGR$DEFAULTVIEW(1.0),Gross domestic product (GDP) and Gross value added (GVA) in volume by NUTS 2 region,A,Annual,B1G,"Value added, gross",I15,"Index, 2015=100",AT,Austria,2019,,109.3,,,,,
dataflow,ESTAT:NAMA_10R_2GVAGR$DEFAULTVIEW(1.0),Gross domestic product (GDP) and Gross value added (GVA) in volume by NUTS 2 region,A,Annual,B1G,"Value added, gross",I15,"Index, 2015=100",AT,Austria,2020,,102.6,,,,,
dataflow,ESTAT:NAMA_10R_2GVAGR$DEFAULTVIEW(1.0),Gross domestic product (GDP) and Gross value added (GVA) in volume by NUTS 2 region,A,Annual,B1G,"Value added, gross",I15,"Index, 2015=100",AT,Austria,2021,,107,,,,,
dataflow,ESTAT:NAMA_10R_2GVAGR$DEFAULTVIEW(1.0),Gross domestic product (GDP) and Gross value added (GVA) in volume by NUTS 2 region,A,Annual,B1G,"Value added, gross",I15,"Index, 2015=100",AT,Austria,2022,,113.5,,,,,
dataflow,ESTAT:NAMA_10R_2GVAGR$DEFAULTVIEW(1.0),Gross domestic product (GDP) and Gross value added (GVA) in volume by NUTS 2 region,A,Annual,B1G,"Value added, gross",I15,"Index, 2015=100",AT,Austria,2023,,112.2,,,,,
dataflow,ESTAT:NAMA_10R_2GVAGR$DEFAULTVIEW(1.0),Gross domestic product (GDP) and Gross value added (GVA) in volume by NUTS 2 region,A,Annual,B1G,"Value added, gross",I15,"Index, 2015=100",AT1,Ostösterreich,2014,,99.4,,,,,
dataflow,ESTAT:NAMA_10R_2GVAGR$DEFAULTVIEW(1.0),Gross domestic product (GDP) and Gross value added (GVA) in volume by NUTS 2 region,A,Annual,B1G,"Value added, gross",I15,"Index, 2015=100",AT1,Ostösterreich,2015,,100,,,,,
dataflow,ESTAT:NAMA_10R_2GVAGR$DEFAULTVIEW(1.0),Gross domestic product (GDP) and Gross value added (GVA) in volume by NUTS 2 region,A,Annual,B1G,"Value added, gross",I15,"Index, 2015=100",AT1,Ostösterreich,2016,,102.5,,,,,
dataflow,ESTAT:NAMA_10R_2GVAGR$DEFAULTVIEW(1.0),Gross domestic product (GDP) and Gross value added (GVA) in volume by NUTS 2 region,A,Annual,B1G,"Value added, gross",I15,"Index, 2015=100",AT1,Ostösterreich,2017,,104,,,,,
dataflow,ESTAT:NAMA_10R_2GVAGR$DEFAULTVIEW(1.0),Gross domestic product (GDP) and Gross value added (GVA) in volume by NUTS 2 region,A,Annual,B1G,"Value added, gross",I15,"Index, 2015=100",AT1,Ostösterreich,2018,,106.9,,,,,
