outcome,model,term,coef,std_err,t_stat,p_value,ci_95_lower,ci_95_upper,n_obs,n_regions,fe_type,clustering,sample_year_min,sample_year_max,controls_used,category_2014_2020
gdp_pc_pps_growth,Model E (category subset),gva,0.2610833404,0.06720555391,3.884847684,0.0001023940628,0.1293628752,0.3928038057,451,67,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",less_developed
gdp_pc_pps_growth,Model E (category subset),log_gdp_pc_pps_l1,-60.25434518,11.80595932,-5.103722918,3.330357915e-07,-83.39360026,-37.1150901,189,43,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",transition
gdp_pc_pps_growth,Model E (category subset),erdf_eur_pc_l1,0.2370843447,0.2003007057,1.183642084,0.2365547739,-0.1554978244,0.6296665139,189,43,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",transition
gdp_pc_pps_growth,Model E (category subset),erdf_eur_pc_l1:log_gdp_pc_pps_l1,-0.02294658186,0.02002695177,-1.145785046,0.251884104,-0.06219868604,0.01630552233,189,43,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",transition
gdp_pc_pps_growth,Model E (category subset),unemp_rate,-0.5812537273,0.3049085684,-1.906321394,0.05660852015,-1.17886354,0.01635608536,189,43,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",transition
gdp_pc_pps_growth,Model E (category subset),emp_rate,-0.163009507,0.3530571372,-0.461708573,0.6442903224,-0.8549887805,0.5289697665,189,43,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",transition
gdp_pc_pps_growth,Model E (category subset),tertiary_share_25_64,-0.3614299125,0.1912071529,-1.890253095,0.05872411875,-0.7361890457,0.01332922079,189,43,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",transition
gdp_pc_pps_growth,Model E (category subset),rd_gerd,-0.1387893452,1.192134865,-0.1164208424,0.9073190179,-2.475330745,2.197752055,189,43,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",transition
gdp_pc_pps_growth,Model E (category subset),gva,0.3627152449,0.1523353758,2.381030952,0.01726426128,0.06414339474,0.6612870952,189,43,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",transition
gdp_pc_pps_growth,Model E (category subset),log_gdp_pc_pps_l1,-84.57097971,6.519377432,-12.97224782,1.757981681e-38,-97.34872468,-71.79323474,535,113,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",more_developed
gdp_pc_pps_growth,Model E (category subset),erdf_eur_pc_l1,-0.02288539605,0.2224021415,-0.1029009698,0.918041568,-0.4587855834,0.4130147913,535,113,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",more_developed
gdp_pc_pps_growth,Model E (category subset),erdf_eur_pc_l1:log_gdp_pc_pps_l1,0.003357191848,0.02150626129,0.1561029973,0.8759518359,-0.03879430573,0.04550868942,535,113,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",more_developed
gdp_pc_pps_growth,Model E (category subset),unemp_rate,-0.5036439281,0.200304187,-2.514395408,0.01192366644,-0.8962329206,-0.1110549356,535,113,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",more_developed
gdp_pc_pps_growth,Model E (category subset),emp_rate,0.02355631203,0.2544770035,0.09256754716,0.9262471266,-0.4752094498,0.5223220738,535,113,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",more_developed
gdp_pc_pps_growth,Model E (category subset),tertiary_share_25_64,-0.2827414352,0.1166669787,-2.423491535,0.0153721115,-0.5114045116,-0.05407835887,535,113,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",more_developed
gdp_pc_pps_growth,Model E (category subset),rd_gerd,-0.2322801587,0.6127108306,-0.3791024201,0.7046118092,-1.43317132,0.9686110022,535,113,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",more_developed
gdp_pc_pps_growth,Model E (category subset),gva,0.5378046249,0.06045232957,8.896342436,5.771730906e-19,0.4193202361,0.6562890136,535,113,year,nuts2,2017,2023,"unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva",more_developed
